Date	OR	Odor	Concentration	NormalizedLuc
71209	1116	1278	0	0.1307
NA	1067	1278	0	0.55875
62202	1282	1278	0	0.15766
NA	1350	1278	0	0.083782
NA	1062	1278	0	0.10798
NA	1067	1078	0	0.78928
62202	1287	1078	0	0.082162
71209	1120	1078	0	0.25305
NA	1115	1375	0	0.16381
NA	1067	1375	0	0.37585
NA	1067	1064	0	0.74765
NA	1142	1147	0	0.092479
90509	1459	1147	0	0.13197
NA	1115	1147	0	0.109
NA	1141	1147	0	0.050934
NA	1042	1147	0	0.12223
NA	1128	1147	0	0.064891
NA	1163	1147	0	0.081791
71209	1123	1147	0	0.13285
71209	1411	1147	0	0.23082
62202	1262	1147	0	0.09794
62202	1261	1147	0	0.073325
NA	1161	1147	0	0.065942
NA	1174	1147	0	0.080447
90509	1536	1147	0	1.4452
NA	1067	1147	0	0.48917
81909	1067	1147	0	1.1501
90509	1474	1147	0	0.11937
71209	1404	1147	0	0.41728
NA	1073	1147	0	0.1538
NA	1085	1147	0	0.095631
90509	1529	1147	0	0.16866
90509	1530	1147	0	0.19017
62202	1287	1147	0	0.081934
NA	1040	1147	0	0.068962
71209	1120	1147	0	0.25718
NA	1108	1147	0	0.067556
71209	1119	1147	0	0.15429
NA	1119	1147	0	0.06402
62202	1272	1147	0	0.068809
62202	1271	1172	0	0.067484
62202	1363	1172	0	0.058252
NA	1067	1172	0	0.43732
71209	1048	1172	0	0.1495
71209	1404	1172	0	0.34805
NA	1073	1172	0	0.1212
62202	1287	1172	0	0.087039
90509	1461	1172	0	0.12911
71209	1120	1172	0	0.91562
71209	1119	1172	0	0.12791
90509	1532	1116	0	2.2496
NA	1115	1174	0	0.14228
90509	1536	1174	0	1.8364
NA	1067	1174	0	0.36532
NA	1067	1174	0	0.5059
71209	1404	1174	0	0.51282
NA	1073	1174	0	0.16004
62202	1282	1174	0	0.16829
90509	1530	1174	0	0.21522
62202	1287	1174	0	0.087096
71209	1120	1174	0	0.22055
62202	1285	1145	0	0.069421
NA	1067	1145	0	0.52658
NA	1067	1145	0	0.9328
62202	1287	1145	0	0.10113
NA	1115	1377	0	0.1207
NA	1067	1377	0	0.63453
71209	1048	1377	0	0.16181
71209	1404	1377	0	0.41328
NA	1073	1377	0	0.11697
NA	1082	1377	0	0.087318
62202	1282	1377	0	0.14514
NA	1350	1377	0	0.078868
NA	1108	1377	0	0.088728
90509	1536	1376	0	2.1477
NA	1067	1376	0	5.8179
NA	1067	1376	0	1.1289
NA	1054	1376	0	0.14913
90509	1531	1376	0	0.13594
90509	1529	1376	0	0.25464
90509	1530	1376	0	0.24354
62202	1287	1376	0	0.10042
62202	1246	1278	0	0.081866
NA	1132	1278	0	0.08579
71209	1123	1278	0	0.11554
62202	1261	1278	0	0.092647
62202	1269	1278	0	0.053328
62202	1337	1278	0	0.10519
NA	1067	1278	0	0.41705
71209	1048	1278	0	0.18581
90509	1487	1278	0	0.25406
62202	1382	1278	0	0.11272
NA	1456	1278	0	0.07149
NA	1453	1278	0	0.095787
62202	1294	1278	0	0.18366
NA	1070	1078	0	0.11237
NA	1042	1078	0	0.12425
90509	1518	1078	0	0.16785
90509	1536	1078	0	2.0481
NA	1067	1078	0	8.9994
NA	1067	1078	0	0.49942
71209	1048	1078	0	0.20506
62202	1282	1078	0	0.13384
71209	1437	1078	0	0.17754
90509	1530	1078	0	0.27737
71209	1119	1078	0	0.18049
71209	1431	1375	0	0.21533
90509	1493	1375	0	0.17458
71209	1441	1375	0	0.17504
71209	1361	1375	0	0.20692
NA	1074	1375	0	0.082448
NA	1174	1375	0	0.075616
NA	1067	1375	0	0.4285
71209	1401	1375	0	0.20206
71209	1048	1375	0	0.1884
71209	1404	1375	0	0.58338
71209	1393	1375	0	0.17406
62202	1282	1375	0	0.14447
NA	1079	1375	0	0.13111
NA	1350	1375	0	0.090744
90509	1484	1375	0	0.17205
NA	1095	1375	0	0.17493
71209	1368	1375	0	0.1748
90509	1493	1064	0	0.20101
71209	1230	1064	0	0.1767
NA	1067	1064	0	0.44131
71209	1048	1064	0	0.1969
62202	1282	1064	0	0.15292
71209	1431	1147	0	0.24025
71209	1388	1147	0	0.13922
90509	1493	1147	0	0.1932
NA	1039	1147	0	0.1395
71209	1441	1147	0	0.11896
90509	1489	1147	0	0.17508
90509	1578	1147	0	0.22897
71209	1230	1147	0	0.15636
62202	1259	1147	0	0.074915
62202	1467	1147	0	0.099041
62202	1307	1147	0	0.091068
71209	1422	1147	0	0.13713
90509	1518	1147	0	0.16042
62202	1286	1147	0	0.10466
NA	1506	1147	0	0.098027
NA	1067	1147	0	0.29132
90509	1576	1147	0	0.20793
71209	1562	1147	0	0.16881
NA	1047	1147	0	0.098157
71209	1048	1147	0	0.1879
NA	1082	1147	0	0.054632
90509	1350	1147	0	0.18316
90509	1512	1147	0	0.17669
90509	1505	1147	0	0.17241
90509	1463	1147	0	0.17736
90509	1531	1147	0	0.13911
NA	1095	1147	0	0.11942
90509	1478	1147	0	0.15432
NA	1037	1147	0	0.11471
90509	1475	1172	0	0.12492
71209	1441	1172	0	0.10483
NA	1148	1172	0	0.069425
62202	1324	1172	0	0.082054
62202	1285	1172	0	0.091865
NA	1174	1172	0	0.061861
NA	1510	1172	0	0.064297
62202	1296	1172	0	0.099696
NA	1067	1172	0	0.35102
NA	1541	1172	0	0.070117
NA	1456	1172	0	0.10757
NA	1350	1172	0	0.11384
NA	1088	1172	0	0.06334
62202	1484	1172	0	0.072623
62202	1272	1172	0	0.059817
90509	1501	1116	0	0.26343
90509	1475	1116	0	0.13514
90509	1519	1116	0	0.20554
90509	1509	1116	0	0.13901
71209	1230	1116	0	0.18569
NA	1174	1116	0	0.09007
NA	1067	1116	0	0.38414
NA	1067	1116	0	0.69788
71209	1048	1116	0	0.15557
90509	1494	1116	0	0.20574
90509	1487	1116	0	0.19631
62202	1282	1116	0	0.12131
NA	1350	1116	0	0.082716
90509	1468	1116	0	0.18844
NA	1150	1174	0	0.061677
NA	1142	1174	0	0.074458
62202	1297	1174	0	0.068753
NA	1148	1174	0	0.080666
NA	1128	1174	0	0.060574
62202	1324	1174	0	0.10504
NA	1154	1174	0	0.1089
90509	1535	1174	0	0.34474
90509	1532	1174	0	2.7894
NA	1161	1174	0	0.085965
NA	1174	1174	0	0.095151
62202	1363	1174	0	0.077589
71209	1048	1174	0	0.16058
71209	1407	1174	0	0.12958
62202	1315	1174	0	0.069674
62202	1272	1174	0	0.052185
62202	1251	1174	0	0.077138
62202	1389	1145	0	0.073218
62202	1279	1145	0	0.089015
NA	1142	1145	0	0.11422
62202	1298	1145	0	0.055267
NA	1117	1145	0	0.080258
NA	1183	1145	0	0.29465
NA	1130	1145	0	0.085299
62202	1265	1145	0	0.070853
62202	1258	1145	0	0.045736
62202	1266	1145	0	0.07128
NA	1174	1145	0	0.087908
90509	1536	1145	0	1.9505
NA	1067	1145	0	5.8519
71209	1048	1145	0	0.16718
NA	1112	1145	0	0.11373
NA	1088	1145	0	0.080867
90509	1468	1145	0	0.19356
90509	1531	1145	0	0.20558
90509	1493	1377	0	0.21379
NA	1142	1377	0	0.073302
71209	1230	1377	0	0.15532
71209	1361	1377	0	0.17395
NA	1067	1377	0	0.42365
90509	1487	1377	0	0.18105
90509	1493	1376	0	0.15675
NA	1072	1376	0	0.07897
NA	1059	1376	0	0.068427
NA	1067	1376	0	0.44377
NA	1052	1376	0	0.077899
NA	1047	1376	0	0.085787
71209	1048	1376	0	0.17339
62202	1282	1376	0	0.14343
NA	1088	1376	0	0.033037
NA	1040	1376	0	0.081624
NA	1108	1376	0	0.077094
71209	1119	1376	0	0.18976
92109	1498	1147	0	1.17
92109	1488	1147	0	0.83799
92109	1522	1147	0	1.0591
92109	1481	1147	0	1.5487
92109	1480	1147	0	0.91771
92109	1537	1147	0	0.64881
92109	1511	1147	0	0.7988
92109	1473	1147	0	1.1229
92109	1532	1172	0	3.8203
92109	1507	1172	0	1.1599
92109	1473	1172	0	1.5594
92109	1502	1172	0	2.2315
92109	1489	1172	0	0.94682
92109	1459	1172	0	0.93333
92109	1485	1172	0	1.1603
92109	1504	1172	0	0.95883
92109	1498	1172	0	0.85363
92109	1513	1172	0	0.50443
92109	1516	1172	0	1.037
92109	1530	1172	0	1.1713
92109	1529	1172	0	1.4108
92109	1513	1064	0	0.54147
92109	1536	1064	0	2.9578
92109	1489	1064	0	0.93127
92109	1487	1278	0	0.89884
92109	1480	1278	0	0.87365
92109	1530	1278	0	0.80805
92109	1474	1278	0	1.3789
92109	1502	1278	0	2.8017
92109	1529	1376	0	0.96748
92109	1474	1376	0	1.4065
92109	1504	1376	0	0.78388
92109	1536	1375	0	2.1385
92109	1504	1375	0	0.69034
92109	1529	1078	0	0.97826
92109	1474	1078	0	1.5058
92109	1474	1145	0	1.6033
92109	1474	1174	0	1.3946
92109	1536	1377	0	2.4978
73109	1111	1282	0	0.049743
73109	1195	1282	0	0.041761
73109	1287	1282	0	0.069485
73109	1111	1281	0	0.020204
73109	1195	1281	0	0.14119
73109	1287	1281	0	0.2086
73109	1108	1281	0	0.088206
73109	1108	1282	0	0.028955
73109	1062	1286	0	0.26992
73109	1101	1285	0	0.020452
73109	1111	1286	0	0.028546
73109	1116	1286	0	0.022267
73109	1101	1286	0	0.024625
73109	1111	1285	0	0.02106
73109	1090	1285	0	0.067931
73109	1108	1285	0	0.042159
73109	1108	1283	0	0.031549
73109	1111	1284	0	0.04296
73109	1079	1284	0	0.027937
73109	1101	1284	0	0.035669
73109	1096	1284	0	0.062316
73109	1116	1283	0	0.026426
73109	1340	1283	0	0.03757
73109	1096	1283	0	0.03183
73109	1090	1289	0	0.030628
73109	1291	1289	0	0.035179
73109	1108	1289	0	0.027556
73109	1111	1288	0	0.02338
73109	1079	1288	0	0.12696
73109	1101	1288	0	0.032777
73109	1094	1288	0	0.044837
73109	1195	1282	0	0.066035
73109	1287	1282	0	0.12267
73109	1195	1281	0	0.085553
73109	1287	1281	0	0.18939
73109	1111	1282	0	0.068026
73109	1108	1282	0	0.05987
73109	1111	1281	0	0.015728
73109	1108	1281	0	0.02493
73109	1195	1282	0	0.047589
73109	1195	1281	0	0.049536
73109	1287	1281	0	0.054154
73109	1111	1282	0	0.097804
73109	1287	1282	0	0.19126
73109	1108	1282	0	0.051862
73109	1111	1281	0	0.021222
73109	1108	1281	0	0.085241
81209	1067	1324	0	5.4095
81209	1033	1324	0	1.0066
81209	1064	1324	0	0.46072
81209	1073	1324	0	2.0581
81209	1064	1322	0	0.66177
81209	1082	1322	0	0.59673
81209	1090	1322	0	0.76906
81209	1101	1322	0	0.89143
81209	1030	1316	0	0.7223
81209	1064	1316	0	0.70014
81209	1082	1316	0	0.58933
81209	1085	1316	0	1.0177
81209	1029	1314	0	0.50061
81209	1030	1314	0	0.55528
81209	1064	1314	0	0.59698
81209	1024	1314	0	0.63819
81209	1067	1320	0	4.8423
81209	1027	1320	0	0.53225
81209	1030	1320	0	0.58226
81209	1064	1320	0	0.44611
81209	1025	1319	0	0.66999
81209	1030	1319	0	0.62623
81209	1064	1319	0	0.47365
81209	1102	1319	0	0.68522
81209	1086	1315	0	0.71378
81209	1050	1317	0	0.84891
81209	1064	1317	0	0.56713
81209	1073	1317	0	1.5234
81209	1064	1315	0	0.57569
81209	1112	1315	0	0.82244
81209	1078	1315	0	1.2007
81209	1067	1324	0	3.9372
81209	1033	1324	0	0.67759
81209	1064	1324	0	0.41128
81209	1073	1324	0	1.1021
81209	1064	1322	0	0.69396
81209	1082	1322	0	1.2
81209	1090	1322	0	0.71963
81209	1101	1322	0	1.0884
81209	1067	1324	0	2.5745
81209	1033	1324	0	0.44081
81209	1064	1324	0	0.25014
81209	1073	1324	0	0.59333
81209	1064	1322	0	0.42831
81209	1082	1322	0	0.27682
81209	1090	1322	0	0.42812
81209	1101	1322	0	0.30692
101409	1527	1314	0	1.0597
101409	1545	1314	0	0.73171
